longitude,latitude,result_1990,result_1991,result_1992,result_1993,result_1994,result_1995,result_1996,result_1997,result_1998,result_1999,result_2000,result_2001,result_2002,result_2003,result_2004,result_2005,result_2006,result_2007,result_2008,result_2009,result_2010,result_2011,result_2012,result_2013,result_2014,result_2015,result_2016,result_2017,result_2018,result_2019,result_2020
90,35,2283.160356,2348.163757,2413.167158,2478.17056,2543.173961,2608.177362,2673.710605,2739.243849,2804.777092,2870.310336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,35,2364.047461,2429.187395,2494.327329,2559.467264,2624.607198,2689.747132,2754.56832,2819.389509,2884.210697,2949.031886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,35,2501.635468,2576.202109,2650.76875,2725.335391,2799.902032,2874.468673,2950.952178,3027.435684,3103.919189,3180.402695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,35,4375.552287,4540.330635,4705.108983,4869.88733,5034.665678,5199.444026,5380.659254,5561.874482,5743.089709,5924.304937,355.0,601.0,610.0,814.0,754.0,707.0,758.0,805.0,877.0,884.0,1095.0,1054.0,1124.0,1137.0,1091.0,845.0,894.0,926.0,951.0,972.0,1000.0
94,35,5902.502714,6163.942285,6425.381856,6686.821428,6948.260999,7209.70057,7508.975008,7808.249446,8107.523884,8406.798322,2206.0,1235.0,1360.0,1248.0,1988.0,2810.0,3272.0,2959.0,3228.0,2978.0,3038.0,9620.0,10155.0,10970.0,8426.0,4210.0,4351.0,4668.0,4825.0,4893.0,5072.0
95,35,7651.234593,7913.255222,8175.275852,8437.296481,8699.317111,8961.33774,9258.30199,9555.26624,9852.23049,10149.19474,369.0,375.0,356.0,349.0,559.0,573.0,551.0,602.0,520.0,546.0,564.0,652.0,691.0,694.0,744.0,762.0,702.0,744.0,797.0,828.0,863.0
96,35,8128.824482,8222.876619,8316.928755,8410.980892,8505.033028,8599.085165,8674.667717,8750.250268,8825.83282,8901.415371,1794.0,1888.0,1985.0,2017.0,1847.0,1786.0,1857.0,1791.0,1984.0,2102.0,1894.0,3164.0,3187.0,3184.0,3029.0,2775.0,2734.0,2838.0,2999.0,3115.0,3230.0
97,35,7768.620258,7828.579842,7888.539426,7948.499011,8008.458595,8068.418179,8106.336783,8144.255386,8182.17399,8220.092593,2613.0,2695.0,2928.0,3069.0,4154.0,4130.0,4350.0,4445.0,4780.0,4871.0,5439.0,6226.0,6323.0,6559.0,6433.0,5311.0,5695.0,5883.0,6204.0,6115.0,6274.0
98,35,6784.147206,6827.083006,6870.018806,6912.954606,6955.890406,6998.826206,7021.100827,7043.375449,7065.65007,7087.924692,20030.0,23477.0,26178.0,27405.0,28769.0,27820.0,28667.0,27009.0,26880.0,27635.0,27942.0,24971.0,29102.0,28834.0,33878.0,38536.0,38219.0,40086.0,41606.0,43259.0,45021.0
99,35,32659.67315,33357.25831,34054.84347,34752.42863,35450.01379,36147.59895,36799.00989,37450.42082,38101.83176,38753.24269,12826.0,9488.0,9663.0,10650.0,10475.0,12031.0,11986.0,12599.0,13666.0,14161.0,14861.0,15842.0,16782.0,16847.0,16722.0,15339.0,15489.0,15801.0,16044.0,16305.0,16687.0
100,35,73586.3172,74966.36474,76346.41227,77726.45981,79106.50734,80486.55488,81744.60651,83002.65814,84260.70977,85518.7614,136240.0,144452.0,147687.0,148147.0,151223.0,152059.0,155218.0,156589.0,157300.0,159066.0,160219.0,160879.0,160881.0,163570.0,166050.0,168739.0,170678.0,172950.0,175268.0,177546.0,179721.0
101,35,125276.6956,127468.5897,129660.4837,131852.3778,134044.2718,136236.1659,138201.8517,140167.5374,142133.2232,144098.9089,206021.0,210982.0,213062.0,220422.0,223204.0,225737.0,231380.0,233460.0,238290.0,238675.0,243629.0,250368.0,252786.0,256954.0,258197.0,260217.0,262611.0,266220.0,269446.0,273333.0,276878.0
102,35,505169.4624,511456.7692,517744.076,524031.3828,530318.6896,536605.9964,541567.6598,546529.3232,551490.9865,556452.6499,445057.0,444122.0,450455.0,452865.0,456838.0,461939.0,465379.0,466235.0,467929.0,480017.0,481763.0,485216.0,486812.0,489696.0,491307.0,495732.0,499295.0,502707.0,505467.0,507813.0,510475.0
103,35,1758906.531,1788145.55,1817384.568,1846623.587,1875862.605,1905101.624,1931234.454,1957367.284,1983500.114,2009632.944,2282529.0,2290554.0,2307414.0,2320039.0,2332221.0,2343028.0,2357929.0,2369946.0,2380419.0,2390044.0,2397446.0,2406121.0,2413480.0,2422403.0,2432089.0,2438401.0,2447997.0,2454588.0,2458780.0,2463555.0,2465796.0
104,35,1377754.941,1395701.825,1413648.709,1431595.592,1449542.476,1467489.36,1481868.811,1496248.261,1510627.712,1525007.162,2963323.0,2979845.0,2990091.0,2992571.0,2991720.0,3005338.0,3004958.0,3011184.0,3014859.0,3013470.0,3027220.0,3034235.0,3040574.0,3043549.0,3048178.0,3056232.0,3049695.0,3052373.0,3053543.0,3051940.0,3048457.0
105,35,1650492.456,1672288.309,1694084.162,1715880.016,1737675.869,1759471.722,1777053.619,1794635.515,1812217.412,1829799.308,1848584.0,1840778.0,1828416.0,1824182.0,1816092.0,1808722.0,1798586.0,1788976.0,1778852.0,1772801.0,1766731.0,1758396.0,1749891.0,1741206.0,1737004.0,1725157.0,1714030.0,1705311.0,1693548.0,1681009.0,1665812.0
106,35,1545611.61,1566170.388,1586729.166,1607287.945,1627846.723,1648405.501,1665373.552,1682341.602,1699309.653,1716277.703,2682020.0,2653875.0,2646189.0,2631960.0,2612435.0,2591740.0,2571765.0,2555969.0,2532936.0,2521806.0,2502526.0,2481359.0,2468082.0,2450989.0,2435806.0,2410466.0,2395323.0,2377105.0,2355991.0,2333771.0,2310857.0
